"","x"
"1","1"
"2","1"
"3","0"
"4","2"
"5","0"
"6","1"
"7","0"
"8","1"
"9","0"
"10","0"
"11","2"
"12","1"
"13","0"
"14","1"
"15","1"
"16","0"
"17","1"
"18","0"
"19","0"
"20","1"
"21","0"
"22","0"
"23","0"
"24","1"
"25","1"
"26","0"
"27","0"
"28","1"
"29","1"
"30","0"
"31","1"
"32","1"
"33","1"
"34","1"
"35","0"
"36","1"
"37","2"
"38","0"
"39","1"
"40","0"
"41","0"
"42","0"
"43","1"
"44","1"
"45","0"
"46","1"
"47","0"
"48","1"
"49","1"
"50","1"
"51","0"
"52","1"
"53","1"
"54","0"
"55","1"
"56","1"
"57","2"
"58","1"
"59","1"
"60","0"
"61","0"
"62","1"
"63","0"
"64","1"
"65","0"
"66","0"
"67","1"
"68","1"
"69","1"
"70","0"
"71","2"
"72","0"
"73","0"
"74","0"
"75","0"
"76","0"
"77","1"
"78","1"
"79","1"
"80","0"
"81","1"
"82","0"
"83","0"
"84","1"
"85","0"
"86","1"
"87","0"
"88","1"
"89","0"
"90","1"
"91","0"
"92","0"
"93","0"
"94","0"
"95","1"
"96","1"
"97","0"
"98","0"
"99","0"
"100","0"
"101","0"
"102","1"
"103","1"
"104","0"
"105","0"
"106","1"
"107","0"
"108","1"
"109","2"
"110","0"
"111","0"
"112","0"
"113","1"
"114","0"
"115","0"
"116","1"
"117","0"
"118","1"
"119","0"
"120","1"
"121","0"
"122","1"
"123","1"
"124","1"
"125","1"
"126","0"
"127","1"
"128","2"
"129","0"
"130","0"
"131","1"
"132","0"
"133","1"
"134","0"
"135","1"
"136","1"
"137","1"
"138","0"
"139","1"
"140","0"
"141","0"
"142","1"
"143","1"
"144","0"
"145","0"
"146","2"
"147","0"
"148","0"
"149","1"
"150","1"
"151","0"
"152","1"
"153","0"
"154","0"
"155","1"
"156","1"
"157","1"
"158","0"
"159","0"
"160","1"
"161","0"
"162","0"
"163","0"
"164","1"
"165","0"
"166","0"
"167","1"
"168","2"
"169","0"
"170","0"
"171","0"
"172","0"
"173","1"
"174","0"
"175","2"
"176","1"
"177","1"
"178","1"
"179","1"
"180","1"
"181","1"
"182","0"
"183","0"
"184","0"
"185","0"
"186","2"
"187","0"
"188","0"
"189","2"
"190","1"
"191","0"
"192","1"
"193","0"
"194","0"
"195","0"
"196","2"
"197","0"
"198","1"
"199","0"
"200","0"
"201","1"
"202","0"
"203","1"
"204","1"
"205","1"
"206","0"
"207","1"
"208","1"
"209","1"
"210","1"
"211","0"
"212","1"
"213","0"
"214","1"
"215","1"
"216","0"
"217","1"
"218","0"
"219","0"
"220","0"
"221","1"
"222","1"
"223","1"
"224","0"
"225","0"
"226","0"
"227","0"
"228","1"
"229","2"
"230","1"
"231","0"
"232","0"
"233","0"
"234","1"
"235","0"
"236","0"
"237","1"
"238","0"
"239","1"
"240","1"
"241","2"
"242","0"
"243","1"
"244","1"
"245","1"
"246","1"
"247","1"
"248","0"
"249","0"
"250","1"
"251","0"
"252","0"
"253","1"
"254","1"
"255","1"
"256","1"
"257","1"
"258","1"
"259","2"
"260","0"
"261","0"
"262","0"
"263","1"
"264","1"
"265","0"
"266","0"
"267","1"
"268","1"
"269","0"
"270","1"
"271","0"
"272","0"
"273","1"
"274","0"
"275","0"
"276","0"
"277","2"
"278","0"
"279","0"
"280","0"
"281","2"
"282","1"
"283","1"
"284","0"
"285","1"
"286","2"
"287","0"
"288","1"
"289","0"
"290","0"
"291","0"
"292","0"
"293","1"
"294","0"
"295","0"
"296","1"
"297","0"
"298","1"
"299","1"
"300","1"
"301","0"
"302","0"
"303","0"
"304","0"
"305","2"
"306","1"
"307","1"
"308","1"
"309","1"
"310","0"
"311","1"
"312","0"
"313","0"
"314","0"
"315","0"
"316","0"
"317","0"
"318","2"
"319","1"
"320","0"
"321","0"
"322","1"
"323","1"
"324","1"
"325","0"
"326","0"
"327","0"
"328","0"
"329","0"
"330","0"
"331","0"
"332","0"
"333","1"
"334","1"
"335","0"
"336","0"
"337","2"
"338","1"
"339","1"
"340","0"
"341","0"
"342","0"
"343","0"
"344","1"
"345","1"
"346","1"
"347","1"
"348","0"
"349","0"
"350","0"
"351","1"
"352","0"
"353","1"
"354","0"
"355","2"
"356","1"
"357","0"
"358","1"
"359","1"
"360","1"
"361","1"
"362","1"
"363","0"
"364","1"
"365","1"
"366","0"
"367","0"
"368","2"
"369","0"
"370","0"
"371","0"
"372","0"
"373","0"
"374","0"
"375","0"
"376","0"
"377","1"
"378","2"
"379","0"
"380","2"
"381","1"
"382","0"
"383","0"
"384","0"
"385","1"
"386","0"
"387","0"
"388","0"
"389","0"
"390","0"
"391","2"
"392","1"
"393","0"
"394","2"
"395","0"
"396","2"
"397","1"
"398","0"
"399","0"
"400","0"
"401","1"
